text	site	step_label	domain	source_file	source_type	el_visible	el_width	el_height	el_x	el_y	el_tag	label	Pattern Category	confidence
Puma	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	56.9375	27.200000762939453	16.0	48.0	A	0	Not Dark Pattern	0.7696432425036468
Nike	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	52.9375	27.200000762939453	80.9375	48.0	A	0	Not Dark Pattern	0.7696432425036468
Red Tape	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	74.86250305175781	27.200000762939453	141.875	48.0	A	0	Not Dark Pattern	0.7778031724160026
Superdry	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	73.5999984741211	27.200000762939453	224.7375030517578	48.0	A	0	Not Dark Pattern	0.7696432425036468
US Polo Assn	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	96.30000305175781	27.200000762939453	363.9375	48.0	A	0	Not Dark Pattern	0.7626186495422578
Adidas	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	63.60000228881836	27.200000762939453	468.2375183105469	48.0	A	0	Not Dark Pattern	0.7696432425036468
Levi's	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	58.42499923706055	27.200000762939453	539.8375244140625	48.0	A	0	Not Dark Pattern	0.7696432425036468
Performax	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	80.25	27.200000762939453	606.2625122070312	48.0	A	0	Not Dark Pattern	0.7696432425036468
Armani Exchange	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	116.57500457763672	27.200000762939453	694.5125122070312	48.0	A	0	Not Dark Pattern	0.7696432425036468
Marks & Spencer	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	114.25	27.200000762939453	819.0875244140625	48.0	A	0	Not Dark Pattern	0.7696432425036468
Asos Design	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	90.61250305175781	27.200000762939453	941.3375244140625	48.0	A	0	Not Dark Pattern	0.7845690533145704
Monte Carlo	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	90.5999984741211	27.200000762939453	16.0	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Skechers	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	72.92500305175781	27.200000762939453	114.5999984741211	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Adidas Originals	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	111.26250457763672	27.200000762939453	195.52500915527344	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Crocs	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	57.60000228881836	27.200000762939453	314.7875061035156	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Louis Philippe	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	99.9375	27.200000762939453	380.38751220703125	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Clarks	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	60.9375	27.200000762939453	488.32501220703125	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
Tommy Hilfiger	ajio	landing	indian	step01_landing_20260805_225550.json	json_element	True	107.75	27.200000762939453	557.2625122070312	83.20000457763672	A	0	Not Dark Pattern	0.7696432425036468
